Sequence file name,Sample Name,Crop,Sample type,Irrigation
Plate_3_F1,MQNP-Soil,No plant,Control soil,Milli-Q water
Plate_3_F2,MQNP-Soil,No plant,Control soil,Milli-Q water
Plate_3_F3,MQNP-Soil,No plant,Control soil,Milli-Q water
Plate_3_F4,MQNP-Soil,No plant,Control soil,Milli-Q water
Plate_3_F5,MQNP-Soil,No plant,Control soil,Milli-Q water
Plate_3_F6,MQRd-Bulk soil,Radish,Control Bulk soil,Milli-Q water
Plate_3_F7,MQRd-Bulk soil,Radish,Control Bulk soil,Milli-Q water
Plate_3_F8,MQRd-Bulk soil,Radish,Control Bulk soil,Milli-Q water
Plate_3_F9,MQRd-Bulk soil,Radish,Control Bulk soil,Milli-Q water
Plate_3_F10,MQRd-Bulk soil,Radish,Control Bulk soil,Milli-Q water
Plate_3_F11,MQSp-Bulk soil,Spinach,Control bulk soil,Milli-Q water
Plate_3_F12,MQSp-Bulk soil,Spinach,Control bulk soil,Milli-Q water
Plate_3_G1,MQSp-Bulk soil,Spinach,Control bulk soil,Milli-Q water
Plate_3_G2,MQSp-Bulk soil,Spinach,Control bulk soil,Milli-Q water
Plate_3_G3,MQSp-Bulk soil,Spinach,Control bulk soil,Milli-Q water
Plate_3_G4,TMWNP-Soil,No plant,Control soil,TMW
Plate_3_G5,TMWNP-Soil,No plant,Control soil,TMW
Plate_3_G6,TMWNP-Soil,No plant,Control soil,TMW
Plate_3_G7,TMWNP-Soil,No plant,Control soil,TMW
Plate_3_G9,TMWRd-Bulk soil,Radish,Bulk soil,TMW
Plate_3_G10,TMWRd-Bulk soil,Radish,Bulk soil,TMW
Plate_3_G11,TMWRd-Bulk soil,Radish,Bulk soil,TMW
Plate_3_G12,TMWRd-Bulk soil,Radish,Bulk soil,TMW
Plate_3_H1,TMWRd-Bulk soil,Radish,Bulk soil,TMW
Plate_3_H2,TMWRd-Bulk soil,Radish,Bulk soil,TMW
Plate_3_H3,TMWSp-Bulk soil,Spinach,Bulk soil,TMW
Plate_3_H5,TMWSp-Bulk soil,Spinach,Bulk soil,TMW
